coordinates,date,precipProbability,precipIntensity,precipIntensityMax,temperatureHigh,temperatureLow,humidity,searches,yearNumber,cases
-14.863;-40.863,10/01/2015,NA,NA,NA,28.56,18.15428571,0.765714286,57,0.027322404,125
-14.863;-40.863,17/01/2015,NA,NA,NA,30.03142857,18.03,0.727142857,87,0.046448087,110
-14.863;-40.863,24/01/2015,NA,NA,NA,29.93428571,18.30142857,0.714285714,49,0.06557377,121
-14.863;-40.863,31/01/2015,NA,NA,NA,30.51428571,18.75857143,0.734285714,62,0.084699454,129
-14.863;-40.863,07/02/2015,NA,NA,NA,29.71285714,18.83285714,0.75,49,0.103825137,178
-14.863;-40.863,14/02/2015,NA,NA,NA,29.3,18.17,0.758571429,17,0.12295082,257
-14.863;-40.863,21/02/2015,NA,NA,NA,28.62857143,19.30428571,0.791428571,32,0.142076503,468
-14.863;-40.863,28/02/2015,NA,NA,NA,28.64,19.40571429,0.828571429,17,0.161202186,450
-14.863;-40.863,07/03/2015,NA,NA,NA,28.15,19.14857143,0.852857143,33,0.180327869,723
-14.863;-40.863,14/03/2015,NA,NA,NA,30.62571429,19.28142857,0.737142857,18,0.199453552,741
-14.863;-40.863,21/03/2015,NA,NA,NA,29.83142857,19.26571429,0.752857143,46,0.218579235,1013
-14.863;-40.863,28/03/2015,NA,NA,NA,30.08714286,20.03571429,0.77,26,0.237704918,1757
-14.863;-40.863,04/04/2015,NA,NA,NA,31.14142857,18.93285714,0.7,15,0.256830601,1618
-14.863;-40.863,11/04/2015,NA,NA,NA,28.07571429,19.44857143,0.818571429,59,0.275956284,2102
-14.863;-40.863,18/04/2015,NA,NA,NA,28.99857143,19.39857143,0.761428571,53,0.295081967,4462
-14.863;-40.863,25/04/2015,NA,NA,NA,29.81142857,20.49714286,0.755714286,18,0.31420765,3191
-14.863;-40.863,02/05/2015,NA,NA,NA,24.39142857,18.45714286,0.895714286,83,0.333333333,4795
-14.863;-40.863,09/05/2015,NA,NA,NA,26.51285714,18.61714286,0.86,100,0.352459016,5853
-14.863;-40.863,16/05/2015,NA,NA,NA,25.33571429,17.93285714,0.838571429,78,0.371584699,4795
-14.863;-40.863,23/05/2015,NA,NA,NA,23.61,16.95428571,0.897142857,75,0.390710383,4492
-14.863;-40.863,30/05/2015,NA,NA,NA,26.91142857,16.72857143,0.805714286,100,0.409836066,3282
-14.863;-40.863,06/06/2015,NA,NA,NA,25.30428571,17.87571429,0.854285714,75,0.428961749,2828
-14.863;-40.863,13/06/2015,NA,NA,NA,25.83857143,16.80571429,0.852857143,100,0.448087432,2677
-14.863;-40.863,20/06/2015,NA,NA,NA,26.37714286,17.28142857,0.785714286,100,0.467213115,2299
-14.863;-40.863,27/06/2015,NA,NA,NA,21.35142857,14.50285714,0.871428571,100,0.486338798,2374
-14.863;-40.863,04/07/2015,NA,NA,NA,22.87,16.11,0.835714286,100,0.505464481,2359
-14.863;-40.863,11/07/2015,NA,NA,NA,24.60142857,15.97285714,0.831428571,75,0.524590164,3282
-14.863;-40.863,18/07/2015,NA,NA,NA,22.47428571,15.67428571,0.864285714,40,0.543715847,3963
-14.863;-40.863,25/07/2015,NA,NA,NA,23.75,15.00142857,0.798571429,72,0.56284153,3252
-14.863;-40.863,01/08/2015,NA,NA,NA,24.27428571,14.72285714,0.777142857,50,0.581967213,2677
-14.863;-40.863,08/08/2015,NA,NA,NA,24.42857143,13.55571429,0.735714286,35,0.601092896,1921
-14.863;-40.863,15/08/2015,NA,NA,NA,19.85285714,13.86,0.89,25,0.620218579,1542
-14.863;-40.863,22/08/2015,NA,NA,NA,22.49285714,15.47428571,0.874285714,27,0.639344262,1149
-14.863;-40.863,29/08/2015,NA,NA,NA,26.23,15.60714286,0.768571429,73,0.658469945,937
-14.863;-40.863,05/09/2015,NA,NA,NA,27.34,16.14285714,0.652857143,8,0.677595628,786
-14.863;-40.863,12/09/2015,NA,NA,NA,29.31857143,17.58857143,0.661428571,28,0.696721311,710
-14.863;-40.863,19/09/2015,NA,NA,NA,26.89142857,16.27857143,0.698571429,20,0.715846995,541
-14.863;-40.863,26/09/2015,NA,NA,NA,29.13428571,16.42571429,0.637142857,25,0.734972678,523
-14.863;-40.863,03/10/2015,NA,NA,NA,29.05571429,16.47857143,0.625714286,11,0.754098361,541
-14.863;-40.863,10/10/2015,NA,NA,NA,28.55142857,17.09857143,0.664285714,19,0.773224044,378
-14.863;-40.863,17/10/2015,NA,NA,NA,29.13,16.88571429,0.635714286,16,0.792349727,323
-14.863;-40.863,24/10/2015,NA,NA,NA,30.01,18.08142857,0.645714286,11,0.81147541,432
-14.863;-40.863,31/10/2015,NA,NA,NA,27.96714286,17.86571429,0.695714286,34,0.830601093,432
-14.863;-40.863,07/11/2015,NA,NA,NA,30.57285714,18.52285714,0.601428571,26,0.849726776,505
-14.863;-40.863,14/11/2015,NA,NA,NA,30.22285714,18.94142857,0.607142857,9,0.868852459,614
-14.863;-40.863,21/11/2015,NA,NA,NA,31.40142857,21.34714286,0.62,45,0.887978142,813
-14.863;-40.863,28/11/2015,NA,NA,NA,30.26571429,20.14571429,0.74,43,0.907103825,904
-14.863;-40.863,05/12/2015,NA,NA,NA,32.43142857,20.23571429,0.591428571,34,0.926229508,1249
-14.863;-40.863,12/12/2015,NA,NA,NA,31.89714286,19.80428571,0.608571429,40,0.945355191,1340
-14.863;-40.863,19/12/2015,NA,NA,NA,31.17857143,18.77285714,0.624285714,39,0.964480874,1249
-14.863;-40.863,26/12/2015,NA,NA,NA,30.21714286,18.84857143,0.634285714,22,0.983606557,1249
-14.863;-40.863,02/01/2016,NA,NA,NA,31.15285714,19.81428571,0.6,18,0.005464481,723
-14.863;-40.863,09/01/2016,NA,NA,NA,29.52714286,19.09285714,0.774285714,21,0.024590164,1521
-14.863;-40.863,16/01/2016,NA,NA,NA,30.79285714,19.98857143,0.765714286,27,0.043715847,1902
-14.863;-40.863,23/01/2016,NA,NA,NA,25.83714286,19.66142857,0.88,23,0.06284153,1921
-14.863;-40.863,30/01/2016,NA,NA,NA,28.21857143,19.17857143,0.821428571,39,0.081967213,2465
-14.863;-40.863,06/02/2016,NA,NA,NA,28.84285714,18.68857143,0.748571429,52,0.101092896,3191
-14.863;-40.863,13/02/2016,NA,NA,NA,29.54428571,19.07714286,0.688571429,44,0.120218579,4462
-14.863;-40.863,20/02/2016,NA,NA,NA,30.91428571,17.92285714,0.72,60,0.139344262,6610
-14.863;-40.863,27/02/2016,NA,NA,NA,30.52714286,18.89142857,0.688571429,60,0.158469945,6458
-14.863;-40.863,05/03/2016,NA,NA,NA,30.93714286,19.52714286,0.705714286,80,0.177595628,5097
-14.863;-40.863,12/03/2016,NA,NA,NA,31.28285714,18.73142857,0.694285714,84,0.196721311,3736
-14.863;-40.863,19/03/2016,NA,NA,NA,29.71285714,18.12857143,0.762857143,67,0.215846995,2828
-14.863;-40.863,26/03/2016,NA,NA,NA,31.28714286,19.06857143,0.694285714,39,0.234972678,1812
-14.863;-40.863,02/04/2016,NA,NA,NA,30.02285714,18.42428571,0.721428571,89,0.254098361,1618
-14.863;-40.863,09/04/2016,NA,NA,NA,30.65571429,18.96142857,0.691428571,76,0.273224044,862
-14.863;-40.863,16/04/2016,NA,NA,NA,30.40857143,19.77428571,0.734285714,51,0.292349727,589
-14.863;-40.863,23/04/2016,NA,NA,NA,28.62,21.21,0.812857143,47,0.31147541,408
-14.863;-40.863,30/04/2016,NA,NA,NA,29.57,18.29,0.715714286,52,0.330601093,305
-14.863;-40.863,07/05/2016,NA,NA,NA,28.31714286,18.93,0.765714286,50,0.349726776,272
-14.863;-40.863,14/05/2016,NA,NA,NA,28.60714286,16.96714286,0.675714286,56,0.368852459,124
-14.863;-40.863,21/05/2016,NA,NA,NA,27.66142857,18.01285714,0.764285714,47,0.387978142,124
